Date,From,To,Narrative,Amount
06/12/2014,Gergana I,Rob S,Lego Assistance,5.64
09/12/2014,Jon A,Chris W,Pokemon Training,2.26
12/12/2014,Dan W,Tim L,Coffee,4.5
14/12/2014,Gergana I,Laura B,Lunch,4.26
16/12/2014,Todd,Tim L,Poker Winnings,7.17
18/12/2014,Chris W,Ben B,Coffee,11.17
20/12/2014,Rob S,Gergana I,Lunch,1.07
21/12/2014,Gergana I,Laura B,Pokemon Training,6.86
22/12/2014,Dan W,Jon A,Lunch,3.66
25/12/2014,Todd,Rob S,Lego Assistance,1.86
28/12/2014,Ben B,Laura B,Coffee,1.44
29/12/2014,Ben B,Sam N,Coffee,5.26
